,HUMEDAD DE LA TIERRA,HUMEDAD RELATIVA,INTENSIDAD LUM√çNICA,TEMPERATURA
2018-05-10 07:33:00,65.02,52.0,5847.0,24.0
2018-05-10 07:34:00,65.18,50.0,5847.0,24.0
2018-05-10 07:35:00,65.18,50.0,5847.0,24.0
2018-05-10 07:36:00,65.18,49.0,5847.0,24.0
2018-05-10 07:37:00,65.18,48.0,5847.0,24.0
2018-05-10 07:38:00,65.18,48.0,5847.0,24.0
2018-05-10 07:39:00,65.66,48.0,5847.0,24.0
2018-05-10 07:40:00,65.18,48.0,5847.0,24.0
2018-05-10 07:41:00,65.18,48.0,5853.0,24.0
2018-05-10 07:42:00,65.18,48.0,5853.0,24.0
2018-05-10 07:43:00,65.34,48.0,5853.0,24.0
2018-05-10 07:44:00,65.34,48.0,5859.0,24.0
2018-05-10 07:45:00,65.34,48.0,5859.0,24.0
2018-05-10 07:46:00,65.34,47.0,5859.0,25.0
2018-05-10 07:47:00,65.18,47.0,5859.0,25.0
2018-05-10 07:48:00,65.18,47.0,5859.0,25.0
2018-05-10 07:49:00,65.18,46.0,5859.0,25.0
2018-05-10 07:50:00,65.18,46.0,5859.0,25.0
2018-05-10 07:51:00,65.34,46.0,5865.0,25.0
2018-05-10 07:52:00,65.18,46.0,5859.0,25.0
2018-05-10 07:53:00,65.34,45.0,5859.0,25.0
2018-05-10 07:54:00,65.34,45.0,5859.0,25.0
2018-05-10 07:55:00,65.34,45.0,5865.0,25.0
2018-05-10 07:56:00,65.34,44.0,5865.0,25.0
2018-05-10 07:57:00,65.5,44.0,5865.0,25.0
2018-05-10 07:58:00,65.5,43.0,5865.0,25.0
2018-05-10 07:59:00,65.5,43.0,5865.0,25.0
2018-05-10 08:00:00,65.5,43.0,5870.0,25.0
2018-05-10 08:01:00,65.34,41.0,5870.0,25.0
2018-05-10 08:02:00,65.34,41.0,5870.0,25.0
2018-05-10 08:03:00,65.34,41.0,5865.0,25.0
2018-05-10 08:04:00,65.18,42.0,5865.0,25.0
2018-05-10 08:05:00,65.18,41.0,5865.0,26.0
2018-05-10 08:06:00,65.18,41.0,5865.0,26.0
2018-05-10 08:07:00,65.18,40.0,5865.0,26.0
2018-05-10 08:08:00,65.02,39.0,5865.0,26.0
2018-05-10 08:09:00,65.18,39.0,5865.0,26.0
2018-05-10 08:10:00,65.18,39.0,5865.0,26.0
2018-05-10 08:11:00,65.34,39.0,5865.0,26.0
2018-05-10 08:12:00,65.18,38.0,5865.0,25.0
2018-05-10 08:13:00,65.18,38.0,5865.0,25.0
2018-05-10 08:14:00,65.18,38.0,5865.0,25.0
2018-05-10 08:15:00,65.18,38.0,5865.0,25.0
2018-05-10 08:16:00,65.34,38.0,5870.0,26.0
2018-05-10 08:17:00,65.5,38.0,5870.0,25.0
2018-05-10 08:18:00,65.5,38.0,5870.0,26.0
2018-05-10 08:19:00,65.34,38.0,5870.0,26.0
2018-05-10 08:20:00,65.5,38.0,5870.0,26.0
2018-05-10 08:21:00,65.5,38.0,5870.0,26.0
2018-05-10 08:22:00,65.34,38.0,5865.0,26.0
2018-05-10 08:23:00,65.34,38.0,5865.0,26.0
2018-05-10 08:24:00,65.34,38.0,5865.0,26.0
2018-05-10 08:25:00,65.34,38.0,5865.0,26.0
2018-05-10 08:26:00,65.34,38.0,5865.0,26.0
2018-05-10 08:27:00,65.34,38.0,5865.0,26.0
2018-05-10 08:28:00,65.18,36.0,5865.0,26.0
2018-05-10 08:29:00,65.34,36.0,5865.0,26.0
2018-05-10 08:30:00,65.18,36.0,5865.0,26.0
2018-05-10 08:31:00,65.98,36.0,5865.0,26.0
2018-05-10 08:32:00,65.98,36.0,5870.0,26.0
2018-05-10 08:33:00,66.46,37.0,5876.0,26.0
2018-05-10 08:34:00,66.46,37.0,5876.0,26.0
2018-05-10 08:35:00,66.46,36.0,5870.0,26.0
2018-05-10 08:36:00,66.62,36.0,5870.0,26.0
2018-05-10 08:37:00,66.46,36.0,5870.0,26.0
2018-05-10 08:38:00,66.3,36.0,5865.0,26.0
2018-05-10 08:39:00,66.14,36.0,5870.0,26.0
2018-05-10 08:40:00,66.3,36.0,5876.0,26.0
2018-05-10 08:41:00,65.82,36.0,5876.0,26.0
2018-05-10 08:42:00,65.82,35.0,5870.0,26.0
2018-05-10 08:43:00,65.82,35.0,5882.0,26.0
2018-05-10 08:44:00,65.82,35.0,5888.0,26.0
2018-05-10 08:45:00,65.82,35.0,5876.0,26.0
2018-05-10 08:46:00,65.66,34.0,5870.0,26.0
2018-05-10 08:47:00,65.66,33.0,5870.0,26.0
2018-05-10 08:48:00,65.66,33.0,5870.0,26.0
2018-05-10 08:49:00,65.5,33.0,5876.0,26.0
2018-05-10 08:50:00,65.5,33.0,5882.0,26.0
2018-05-10 08:51:00,65.5,33.0,5888.0,26.0
2018-05-10 08:52:00,65.5,33.0,5888.0,26.0
2018-05-10 08:53:00,65.34,32.0,5894.0,26.0
2018-05-10 08:54:00,65.34,32.0,5900.0,26.0
2018-05-10 08:55:00,65.5,31.0,5906.0,27.0
2018-05-10 08:56:00,65.34,31.0,5900.0,27.0
2018-05-10 08:57:00,65.18,30.0,5900.0,27.0
2018-05-10 08:58:00,65.34,29.0,5912.0,27.0
2018-05-10 08:59:00,65.18,28.0,5917.0,27.0
2018-05-10 09:00:00,65.34,28.0,5923.0,27.0
2018-05-10 09:01:00,65.18,27.0,5912.0,27.0
2018-05-10 09:02:00,65.02,28.0,5912.0,27.0
2018-05-10 09:03:00,65.18,25.0,5929.0,27.0
2018-05-10 09:04:00,65.18,25.0,5935.0,28.0
2018-05-10 09:05:00,65.02,25.0,5935.0,28.0
2018-05-10 09:06:00,65.02,25.0,5935.0,28.0
2018-05-10 09:07:00,65.02,24.0,5941.0,28.0
2018-05-10 09:08:00,65.02,24.0,5935.0,28.0
2018-05-10 09:09:00,65.02,25.0,5882.0,28.0
2018-05-10 09:10:00,65.02,24.0,5870.0,28.0
2018-05-10 09:11:00,65.02,24.0,5917.0,28.0
2018-05-10 09:12:00,65.02,24.0,5923.0,28.0
2018-05-10 09:13:00,65.02,24.0,5923.0,28.0
2018-05-10 09:14:00,65.02,24.0,5912.0,28.0
2018-05-10 09:15:00,64.86,24.0,5900.0,28.0
2018-05-10 09:16:00,64.86,23.0,5882.0,28.0
2018-05-10 09:17:00,65.02,23.0,5882.0,28.0
2018-05-10 09:18:00,64.86,22.0,5888.0,28.0
2018-05-10 09:19:00,64.86,23.0,5894.0,28.0
2018-05-10 09:20:00,64.86,22.0,5853.0,28.0
2018-05-10 09:21:00,64.86,21.0,5853.0,28.0
2018-05-10 09:22:00,65.02,21.0,5894.0,28.0
2018-05-10 09:23:00,65.02,21.0,5912.0,28.0
2018-05-10 09:24:00,64.86,19.0,5894.0,28.0
2018-05-10 09:25:00,64.86,21.0,5935.0,28.0
2018-05-10 09:26:00,64.86,19.0,5894.0,28.0
2018-05-10 09:27:00,64.86,19.0,5894.0,28.0
2018-05-10 09:28:00,64.86,19.0,5894.0,28.0
2018-05-10 09:29:00,65.02,19.0,5882.0,28.0
2018-05-10 09:30:00,64.86,19.0,5876.0,28.0
2018-05-10 09:31:00,64.86,19.0,5876.0,28.0
2018-05-10 09:32:00,64.86,20.0,5870.0,28.0
2018-05-10 09:33:00,64.86,20.0,5870.0,28.0
2018-05-10 09:34:00,64.86,20.0,5870.0,28.0
2018-05-10 09:35:00,64.86,19.0,5870.0,28.0
2018-05-10 09:36:00,64.86,19.0,5870.0,28.0
2018-05-10 09:37:00,64.86,19.0,5865.0,28.0
2018-05-10 09:38:00,64.86,19.0,5870.0,28.0
2018-05-10 09:39:00,64.86,19.0,5876.0,28.0
2018-05-10 09:40:00,65.02,19.0,5870.0,28.0
2018-05-10 09:41:00,64.86,19.0,5870.0,28.0
2018-05-10 09:42:00,64.86,19.0,5865.0,28.0
2018-05-10 09:43:00,64.86,19.0,5865.0,28.0
2018-05-10 09:44:00,65.02,19.0,5859.0,28.0
2018-05-10 09:45:00,64.86,19.0,5865.0,28.0
2018-05-10 09:46:00,64.86,19.0,5870.0,28.0
2018-05-10 09:47:00,64.86,19.0,5865.0,28.0
2018-05-10 09:48:00,64.86,19.0,5865.0,28.0
2018-05-10 09:49:00,64.86,19.0,5870.0,28.0
2018-05-10 09:50:00,64.86,19.0,5870.0,28.0
2018-05-10 09:51:00,64.86,19.0,5870.0,28.0
2018-05-10 09:52:00,64.86,19.0,5865.0,28.0
2018-05-10 09:53:00,64.86,19.0,5859.0,28.0
2018-05-10 09:54:00,64.86,19.0,5865.0,28.0
2018-05-10 09:55:00,64.86,19.0,5865.0,28.0
2018-05-10 09:56:00,64.86,19.0,5870.0,28.0
2018-05-10 09:57:00,64.86,19.0,5870.0,28.0
2018-05-10 09:58:00,64.86,19.0,5870.0,28.0
2018-05-10 09:59:00,64.86,19.0,5870.0,28.0
2018-05-10 10:00:00,64.7,19.0,5870.0,28.0
2018-05-10 10:01:00,64.7,19.0,5870.0,28.0
2018-05-10 10:02:00,64.86,18.0,5870.0,29.0
2018-05-10 10:03:00,64.7,18.0,5870.0,29.0
2018-05-10 10:04:00,64.7,18.0,5870.0,29.0
2018-05-10 10:05:00,64.7,18.0,5859.0,29.0
2018-05-10 10:06:00,64.86,18.0,5859.0,29.0
2018-05-10 10:07:00,64.86,18.0,5859.0,29.0
2018-05-10 10:08:00,64.86,19.0,5859.0,28.0
2018-05-10 10:09:00,64.7,19.0,5859.0,28.0
2018-05-10 10:10:00,64.86,19.0,5865.0,28.0
2018-05-10 10:11:00,64.86,19.0,5865.0,28.0
2018-05-10 10:12:00,64.86,19.0,5865.0,28.0
2018-05-10 10:13:00,64.86,19.0,5865.0,28.0
2018-05-10 10:14:00,64.86,19.0,5865.0,28.0
2018-05-10 10:15:00,65.02,19.0,5865.0,28.0
2018-05-10 10:16:00,64.86,19.0,5865.0,28.0
2018-05-10 10:17:00,64.86,19.0,5865.0,28.0
2018-05-10 10:18:00,64.86,19.0,5870.0,28.0
2018-05-10 10:19:00,64.86,19.0,5870.0,28.0
2018-05-10 10:20:00,64.86,19.0,5870.0,28.0
2018-05-10 10:21:00,65.18,19.0,5870.0,28.0
2018-05-10 10:22:00,64.86,19.0,5870.0,28.0
2018-05-10 10:23:00,64.86,19.0,5870.0,28.0
2018-05-10 10:24:00,64.86,19.0,5870.0,28.0
2018-05-10 10:25:00,64.86,19.0,5870.0,28.0
2018-05-10 10:26:00,64.86,19.0,5870.0,28.0
2018-05-10 10:27:00,64.86,19.0,5870.0,28.0
2018-05-10 10:28:00,64.86,19.0,5870.0,28.0
2018-05-10 10:29:00,64.86,19.0,5870.0,28.0
2018-05-10 10:30:00,64.86,19.0,5870.0,28.0
2018-05-10 10:31:00,64.86,19.0,5865.0,28.0
2018-05-10 10:32:00,65.02,19.0,5870.0,28.0
2018-05-10 10:33:00,64.86,19.0,5870.0,28.0
2018-05-10 10:34:00,64.86,19.0,5870.0,28.0
2018-05-10 10:35:00,65.02,19.0,5870.0,28.0
2018-05-10 10:36:00,65.02,19.0,5870.0,28.0
2018-05-10 10:37:00,64.86,19.0,5870.0,28.0
2018-05-10 10:38:00,64.86,19.0,5870.0,28.0
2018-05-10 10:39:00,64.86,19.0,5870.0,28.0
2018-05-10 10:40:00,64.86,19.0,5876.0,28.0
2018-05-10 10:41:00,64.86,19.0,5876.0,28.0
2018-05-10 10:42:00,64.86,19.0,5876.0,28.0
2018-05-10 10:43:00,64.86,18.0,5876.0,29.0
2018-05-10 10:44:00,64.7,18.0,5870.0,29.0
2018-05-10 10:45:00,64.86,18.0,5870.0,29.0
2018-05-10 10:46:00,64.86,19.0,5870.0,28.0
2018-05-10 10:47:00,64.86,19.0,5865.0,28.0
2018-05-10 10:48:00,64.86,19.0,5865.0,28.0
2018-05-10 10:49:00,64.86,19.0,5865.0,28.0
2018-05-10 10:50:00,65.02,19.0,5870.0,28.0
2018-05-10 10:51:00,64.86,19.0,5876.0,28.0
2018-05-10 10:52:00,64.86,19.0,5870.0,28.0
2018-05-10 10:53:00,64.86,18.0,5870.0,29.0
2018-05-10 10:54:00,64.7,18.0,5876.0,29.0
2018-05-10 10:55:00,64.7,18.0,5870.0,29.0
2018-05-10 10:56:00,64.7,18.0,5870.0,29.0
2018-05-10 10:57:00,64.7,18.0,5865.0,29.0
2018-05-10 10:58:00,64.7,18.0,5865.0,29.0
2018-05-10 10:59:00,64.54,19.0,5865.0,28.0
2018-05-10 11:00:00,64.54,19.0,5865.0,28.0
2018-05-10 11:01:00,64.54,19.0,5865.0,28.0
2018-05-10 11:02:00,64.54,19.0,5865.0,28.0
2018-05-10 11:03:00,64.7,19.0,5865.0,28.0
2018-05-10 11:04:00,64.54,19.0,5870.0,28.0
2018-05-10 11:05:00,64.54,19.0,5870.0,28.0
2018-05-10 11:06:00,64.54,19.0,5870.0,28.0
2018-05-10 11:07:00,64.54,18.0,5870.0,29.0
2018-05-10 11:08:00,64.54,19.0,5870.0,28.0
2018-05-10 11:09:00,64.54,19.0,5870.0,28.0
2018-05-10 11:10:00,64.54,19.0,5876.0,28.0
2018-05-10 11:11:00,64.54,19.0,5876.0,28.0
2018-05-10 11:12:00,64.54,19.0,5876.0,28.0
2018-05-10 11:13:00,64.54,19.0,5876.0,28.0
2018-05-10 11:14:00,64.54,19.0,5882.0,28.0
2018-05-10 11:15:00,64.54,18.0,5882.0,29.0
2018-05-10 11:16:00,64.37,18.0,5882.0,29.0
2018-05-10 11:17:00,64.37,18.0,5882.0,29.0
2018-05-10 11:18:00,64.37,18.0,5882.0,30.0
2018-05-10 11:19:00,64.54,18.0,5888.0,30.0
2018-05-10 11:20:00,64.37,18.0,5882.0,30.0
2018-05-10 11:21:00,64.37,18.0,5882.0,30.0
2018-05-10 11:22:00,64.37,18.0,5876.0,30.0
2018-05-10 11:23:00,64.37,18.0,5870.0,30.0
2018-05-10 11:24:00,64.37,18.0,5870.0,30.0
2018-05-10 11:25:00,64.37,18.0,5870.0,29.0
2018-05-10 11:26:00,64.21,18.0,5870.0,29.0
2018-05-10 11:27:00,64.37,18.0,5870.0,29.0
2018-05-10 11:28:00,64.37,18.0,5870.0,29.0
2018-05-10 11:29:00,64.37,18.0,5876.0,29.0
2018-05-10 11:30:00,64.37,18.0,5876.0,29.0
2018-05-10 11:31:00,64.37,18.0,5876.0,29.0
2018-05-10 11:32:00,64.37,18.0,5882.0,29.0
2018-05-10 11:33:00,64.37,18.0,5882.0,30.0
2018-05-10 11:34:00,64.37,18.0,5882.0,30.0
2018-05-10 11:35:00,64.21,18.0,5870.0,30.0
2018-05-10 11:36:00,64.37,18.0,5865.0,30.0
2018-05-10 11:37:00,64.37,18.0,5870.0,30.0
2018-05-10 11:38:00,64.37,18.0,5888.0,30.0
2018-05-10 11:39:00,64.37,18.0,5888.0,30.0
2018-05-10 11:40:00,64.21,18.0,5888.0,30.0
2018-05-10 11:41:00,64.21,18.0,5888.0,30.0
2018-05-10 11:42:00,64.21,17.0,5894.0,31.0
2018-05-10 11:43:00,64.21,17.0,5888.0,31.0
2018-05-10 11:44:00,64.21,17.0,5882.0,31.0
2018-05-10 11:45:00,64.21,17.0,5876.0,31.0
2018-05-10 11:46:00,64.21,18.0,5870.0,30.0
2018-05-10 11:47:00,64.21,18.0,5870.0,30.0
2018-05-10 11:48:00,64.21,18.0,5865.0,30.0
2018-05-10 11:49:00,64.21,18.0,5870.0,30.0
2018-05-10 11:50:00,64.21,18.0,5870.0,30.0
2018-05-10 11:51:00,64.21,18.0,5870.0,30.0
2018-05-10 11:52:00,64.21,18.0,5870.0,30.0
2018-05-10 11:53:00,64.21,18.0,5870.0,30.0
2018-05-10 11:54:00,64.05,18.0,5876.0,30.0
2018-05-10 11:55:00,64.21,18.0,5876.0,30.0
2018-05-10 11:56:00,64.05,18.0,5882.0,30.0
2018-05-10 11:57:00,64.05,18.0,5876.0,30.0
2018-05-10 11:58:00,64.21,18.0,5870.0,30.0
2018-05-10 11:59:00,64.05,18.0,5882.0,30.0
2018-05-10 12:00:00,64.05,18.0,5876.0,30.0
2018-05-10 12:01:00,64.05,18.0,5882.0,30.0
2018-05-10 12:02:00,63.89,18.0,5876.0,30.0
2018-05-10 12:03:00,63.89,18.0,5870.0,30.0
2018-05-10 12:04:00,63.89,18.0,5870.0,30.0
2018-05-10 12:05:00,64.05,18.0,5865.0,30.0
2018-05-10 12:06:00,63.89,18.0,5865.0,30.0
2018-05-10 12:07:00,63.89,18.0,5870.0,30.0
2018-05-10 12:08:00,63.89,18.0,5876.0,30.0
2018-05-10 12:09:00,63.89,18.0,5876.0,30.0
2018-05-10 12:10:00,63.89,18.0,5876.0,30.0
2018-05-10 12:11:00,63.89,18.0,5876.0,30.0
2018-05-10 12:12:00,63.73,18.0,5876.0,30.0
2018-05-10 12:13:00,63.73,18.0,5870.0,30.0
2018-05-10 12:14:00,63.89,18.0,5870.0,29.0
2018-05-10 12:15:00,63.89,18.0,5876.0,29.0
2018-05-10 12:16:00,63.73,18.0,5876.0,30.0
2018-05-10 12:17:00,63.89,18.0,5882.0,30.0
2018-05-10 12:18:00,63.89,18.0,5876.0,30.0
2018-05-10 12:19:00,63.89,18.0,5870.0,30.0
2018-05-10 12:20:00,63.89,18.0,5870.0,30.0
2018-05-10 12:21:00,63.89,18.0,5870.0,29.0
2018-05-10 12:22:00,63.89,18.0,5870.0,29.0
2018-05-10 12:23:00,63.89,18.0,5888.0,29.0
2018-05-10 12:24:00,63.89,18.0,5912.0,29.0
2018-05-10 12:25:00,63.89,18.0,5917.0,30.0
2018-05-10 12:26:00,63.89,18.0,5882.0,30.0
2018-05-10 12:27:00,63.89,18.0,5894.0,30.0
2018-05-10 12:28:00,63.89,18.0,5912.0,30.0
2018-05-10 12:29:00,63.89,18.0,5923.0,30.0
2018-05-10 12:30:00,63.89,17.0,5906.0,31.0
2018-05-10 12:31:00,63.89,17.0,5917.0,31.0
2018-05-10 12:32:00,63.73,17.0,5912.0,31.0
2018-05-10 12:33:00,63.73,17.0,5876.0,31.0
2018-05-10 12:34:00,63.89,17.0,5870.0,31.0
2018-05-10 12:35:00,63.89,18.0,5870.0,30.0
2018-05-10 12:36:00,63.89,18.0,5870.0,30.0
2018-05-10 12:37:00,63.89,18.0,5870.0,30.0
2018-05-10 12:38:00,63.73,18.0,5876.0,29.0
2018-05-10 12:39:00,63.73,18.0,5900.0,30.0
2018-05-10 12:40:00,63.73,18.0,5894.0,30.0
2018-05-10 12:41:00,63.73,18.0,5888.0,30.0
2018-05-10 12:42:00,63.57,18.0,5882.0,30.0
2018-05-10 12:43:00,63.57,18.0,5876.0,30.0
2018-05-10 12:44:00,63.57,18.0,5876.0,30.0
2018-05-10 12:45:00,63.73,18.0,5876.0,30.0
2018-05-10 12:46:00,63.57,18.0,5882.0,30.0
2018-05-10 12:47:00,63.57,18.0,5882.0,30.0
2018-05-10 12:48:00,63.41,18.0,5882.0,30.0
2018-05-10 12:49:00,63.57,18.0,5888.0,30.0
2018-05-10 12:50:00,63.41,18.0,5888.0,30.0
2018-05-10 12:51:00,63.41,17.0,5888.0,31.0
2018-05-10 12:52:00,63.41,17.0,5888.0,31.0
2018-05-10 12:53:00,63.41,18.0,5888.0,30.0
2018-05-10 12:54:00,63.41,17.0,5888.0,31.0
2018-05-10 12:55:00,63.41,17.0,5882.0,31.0
2018-05-10 12:56:00,63.41,18.0,5882.0,30.0
2018-05-10 12:57:00,63.41,18.0,5882.0,30.0
2018-05-10 12:58:00,63.41,17.0,5876.0,31.0
2018-05-10 12:59:00,63.41,17.0,5876.0,31.0
2018-05-10 13:00:00,63.41,18.0,5882.0,30.0
2018-05-10 13:01:00,63.25,17.0,5876.0,31.0
2018-05-10 13:02:00,63.41,17.0,5876.0,31.0
2018-05-10 13:03:00,63.41,18.0,5876.0,30.0
2018-05-10 13:04:00,63.41,18.0,5870.0,30.0
2018-05-10 13:05:00,63.41,18.0,5870.0,30.0
2018-05-10 13:06:00,63.41,18.0,5870.0,30.0
2018-05-10 13:07:00,63.41,18.0,5870.0,30.0
2018-05-10 13:08:00,63.25,16.0,5900.0,33.0
2018-05-10 13:09:00,63.25,16.0,5900.0,34.0
2018-05-10 13:10:00,63.09,16.0,5900.0,34.0
2018-05-10 13:11:00,63.09,16.0,5900.0,34.0
2018-05-10 13:12:00,63.09,15.0,5906.0,35.0
2018-05-10 13:13:00,63.09,15.0,5923.0,35.0
2018-05-10 13:14:00,63.09,15.0,5917.0,35.0
2018-05-10 13:15:00,63.09,15.0,5923.0,35.0
2018-05-10 13:16:00,63.09,15.0,5923.0,35.0
2018-05-10 13:17:00,63.25,15.0,5923.0,35.0
2018-05-10 13:18:00,63.09,16.0,5923.0,34.0
2018-05-10 13:19:00,63.09,16.0,5923.0,34.0
2018-05-10 13:20:00,63.09,16.0,5923.0,34.0
2018-05-10 13:21:00,63.09,16.0,5923.0,34.0
2018-05-10 13:22:00,63.09,16.0,5888.0,34.0
2018-05-10 13:23:00,63.25,16.0,5888.0,33.0
2018-05-10 13:24:00,63.09,16.0,5882.0,33.0
2018-05-10 13:25:00,63.09,17.0,5900.0,32.0
2018-05-10 13:26:00,63.09,16.0,5900.0,33.0
2018-05-10 13:27:00,63.25,16.0,5894.0,33.0
2018-05-10 13:28:00,63.09,16.0,5894.0,33.0
2018-05-10 13:29:00,63.09,16.0,5900.0,33.0
2018-05-10 13:30:00,63.09,16.0,5894.0,33.0
2018-05-10 13:31:00,63.09,17.0,5894.0,32.0
2018-05-10 13:32:00,63.09,17.0,5894.0,32.0
2018-05-10 13:33:00,62.93,17.0,5900.0,32.0
2018-05-10 13:34:00,62.93,17.0,5900.0,32.0
2018-05-10 13:35:00,62.93,17.0,5870.0,32.0
2018-05-10 13:36:00,63.09,17.0,5865.0,32.0
2018-05-10 13:37:00,63.09,17.0,5870.0,31.0
2018-05-10 13:38:00,63.25,17.0,5888.0,31.0
2018-05-10 13:39:00,63.09,17.0,5894.0,31.0
2018-05-10 13:40:00,62.93,17.0,5894.0,31.0
2018-05-10 13:41:00,62.93,17.0,5894.0,31.0
2018-05-10 13:42:00,62.93,17.0,5894.0,31.0
2018-05-10 13:43:00,62.77,17.0,5900.0,31.0
2018-05-10 13:44:00,62.77,17.0,5900.0,31.0
2018-05-10 13:45:00,62.77,17.0,5900.0,32.0
2018-05-10 13:46:00,62.77,17.0,5894.0,31.0
2018-05-10 13:47:00,62.77,17.0,5894.0,31.0
2018-05-10 13:48:00,62.61,17.0,5900.0,31.0
2018-05-10 13:49:00,62.61,17.0,5894.0,31.0
2018-05-10 13:50:00,62.61,17.0,5882.0,31.0
2018-05-10 13:51:00,62.77,17.0,5894.0,31.0
2018-05-10 13:52:00,62.77,17.0,5894.0,31.0
2018-05-10 13:53:00,62.77,17.0,5894.0,31.0
2018-05-10 13:54:00,62.61,17.0,5894.0,31.0
2018-05-10 13:55:00,62.77,17.0,5882.0,31.0
2018-05-10 13:56:00,62.77,17.0,5882.0,31.0
2018-05-10 13:57:00,62.77,17.0,5888.0,31.0
2018-05-10 13:58:00,62.77,17.0,5882.0,31.0
2018-05-10 13:59:00,62.93,17.0,5900.0,31.0
2018-05-10 14:00:00,62.77,17.0,5882.0,31.0
2018-05-10 14:01:00,62.77,17.0,5870.0,31.0
2018-05-10 14:02:00,62.77,17.0,5865.0,31.0
2018-05-10 14:03:00,62.77,17.0,5865.0,31.0
2018-05-10 14:04:00,62.77,18.0,5859.0,30.0
2018-05-10 14:05:00,62.77,18.0,5853.0,30.0
2018-05-10 14:06:00,62.77,18.0,5853.0,30.0
2018-05-10 14:07:00,63.09,18.0,5853.0,30.0
2018-05-10 14:08:00,62.77,18.0,5859.0,30.0
2018-05-10 14:09:00,62.93,18.0,5865.0,30.0
2018-05-10 14:10:00,62.77,18.0,5870.0,30.0
2018-05-10 14:11:00,62.77,18.0,5865.0,30.0
2018-05-10 14:12:00,62.77,18.0,5865.0,30.0
2018-05-10 14:13:00,62.77,18.0,5870.0,30.0
2018-05-10 14:14:00,62.77,18.0,5865.0,30.0
2018-05-10 14:15:00,62.77,18.0,5859.0,30.0
2018-05-10 14:16:00,62.93,18.0,5853.0,30.0
2018-05-10 14:17:00,62.93,18.0,5853.0,30.0
2018-05-10 14:18:00,62.93,18.0,5853.0,30.0
2018-05-10 14:19:00,62.93,18.0,5847.0,30.0
2018-05-10 14:20:00,62.93,18.0,5847.0,29.0
2018-05-10 14:21:00,62.93,18.0,5847.0,29.0
2018-05-10 14:22:00,62.93,19.0,5853.0,28.0
2018-05-10 14:23:00,62.93,19.0,5853.0,28.0
2018-05-10 14:24:00,62.93,19.0,5853.0,28.0
2018-05-10 14:25:00,62.93,19.0,5853.0,28.0
2018-05-10 14:26:00,63.09,19.0,5853.0,28.0
2018-05-10 14:27:00,62.93,19.0,5853.0,28.0
2018-05-10 14:28:00,62.77,19.0,5859.0,28.0
2018-05-10 14:29:00,65.34,19.0,5859.0,28.0
2018-05-10 14:30:00,65.34,19.0,5859.0,28.0
2018-05-10 14:31:00,65.34,19.0,5859.0,28.0
2018-05-10 14:32:00,65.34,19.0,5865.0,28.0
2018-05-10 14:33:00,65.5,18.0,5870.0,29.0
2018-05-10 14:34:00,65.34,18.0,5870.0,29.0
2018-05-10 14:35:00,65.34,18.0,5859.0,29.0
2018-05-10 14:36:00,65.34,18.0,5859.0,29.0
