,HORA,HUMEDAD DE LA TIERRA,HUMEDAD RELATIVA,INTENSIDAD LUMÍNICA,TEMPERATURA
2018-05-09 10:25:00,10.0,60.2,59.0,5806.0,29.0
2018-05-09 10:26:00,10.0,60.04,58.0,5806.0,29.0
2018-05-09 10:27:00,10.0,59.72,58.0,5841.0,29.0
2018-05-09 10:28:00,10.0,59.72,58.0,5806.0,29.0
2018-05-09 10:29:00,10.0,59.4,57.0,5818.0,30.0
2018-05-09 10:30:00,10.0,59.24,56.0,5829.0,30.0
2018-05-09 10:31:00,10.0,59.08,55.0,5841.0,30.0
2018-05-09 10:32:00,10.0,59.08,54.0,5829.0,30.0
2018-05-09 10:33:00,10.0,59.08,54.0,5841.0,30.0
2018-05-09 10:34:00,10.0,58.92,54.0,5841.0,30.0
2018-05-09 10:35:00,10.0,58.92,53.0,5835.0,30.0
2018-05-09 10:36:00,10.0,58.92,51.0,5835.0,30.0
2018-05-09 10:37:00,10.0,58.76,49.0,5835.0,30.0
2018-05-09 10:38:00,10.0,58.76,47.0,5835.0,30.0
2018-05-09 10:39:00,10.0,58.44,47.0,5835.0,30.0
2018-05-09 10:40:00,10.0,58.44,44.0,5835.0,31.0
2018-05-09 10:41:00,10.0,58.44,44.0,5835.0,31.0
2018-05-09 10:42:00,10.0,58.28,43.0,5835.0,31.0
2018-05-09 10:43:00,10.0,58.28,42.0,5835.0,31.0
2018-05-09 10:44:00,10.0,58.28,42.0,5835.0,31.0
2018-05-09 10:45:00,10.0,58.12,43.0,5835.0,31.0
2018-05-09 10:46:00,10.0,57.95,43.0,5829.0,31.0
2018-05-09 10:47:00,10.0,57.95,43.0,5829.0,31.0
2018-05-09 10:48:00,10.0,57.95,43.0,5829.0,31.0
2018-05-09 10:49:00,10.0,57.95,42.0,5835.0,31.0
2018-05-09 10:50:00,10.0,57.95,42.0,5841.0,31.0
2018-05-09 10:51:00,10.0,57.95,42.0,5835.0,32.0
2018-05-09 10:52:00,10.0,57.95,42.0,5835.0,32.0
2018-05-09 10:53:00,10.0,57.79,43.0,5835.0,32.0
2018-05-09 10:54:00,10.0,57.79,43.0,5835.0,32.0
2018-05-09 10:55:00,10.0,57.63,43.0,5841.0,32.0
2018-05-09 10:56:00,10.0,57.63,43.0,5841.0,32.0
2018-05-09 10:57:00,10.0,57.79,42.0,5818.0,32.0
2018-05-09 10:58:00,10.0,57.95,41.0,5818.0,32.0
2018-05-09 10:59:00,10.0,57.95,40.0,5818.0,32.0
2018-05-09 11:00:00,11.0,57.95,39.0,5818.0,32.0
2018-05-09 11:01:00,11.0,58.12,40.0,5818.0,32.0
2018-05-09 11:02:00,11.0,58.12,39.0,5818.0,31.0
2018-05-09 11:03:00,11.0,57.95,36.0,5824.0,31.0
2018-05-09 11:04:00,11.0,58.28,36.0,5824.0,32.0
2018-05-09 11:05:00,11.0,58.12,36.0,5818.0,32.0
2018-05-09 11:06:00,11.0,58.12,36.0,5818.0,31.0
2018-05-09 11:07:00,11.0,58.28,36.0,5818.0,31.0
2018-05-09 11:08:00,11.0,58.12,36.0,5818.0,31.0
2018-05-09 11:09:00,11.0,58.28,36.0,5818.0,31.0
2018-05-09 11:10:00,11.0,58.28,36.0,5824.0,31.0
2018-05-09 11:11:00,11.0,58.6,36.0,5824.0,31.0
2018-05-09 11:12:00,11.0,58.28,35.0,5824.0,31.0
2018-05-09 11:13:00,11.0,58.12,36.0,5818.0,31.0
2018-05-09 11:14:00,11.0,58.12,36.0,5812.0,32.0
2018-05-09 11:15:00,11.0,58.28,36.0,5812.0,32.0
2018-05-09 11:16:00,11.0,58.44,36.0,5812.0,31.0
2018-05-09 11:17:00,11.0,58.6,36.0,5812.0,31.0
2018-05-09 11:18:00,11.0,58.44,36.0,5806.0,31.0
2018-05-09 11:19:00,11.0,58.28,35.0,5806.0,31.0
2018-05-09 11:20:00,11.0,58.12,35.0,5806.0,31.0
2018-05-09 11:21:00,11.0,57.95,34.0,5806.0,31.0
2018-05-09 11:22:00,11.0,57.95,34.0,5806.0,31.0
2018-05-09 11:23:00,11.0,58.12,36.0,5812.0,31.0
2018-05-09 11:24:00,11.0,58.44,36.0,5812.0,31.0
2018-05-09 11:25:00,11.0,58.28,36.0,5812.0,31.0
2018-05-09 11:26:00,11.0,58.6,35.0,5812.0,31.0
2018-05-09 11:27:00,11.0,58.6,35.0,5812.0,31.0
2018-05-09 11:28:00,11.0,58.76,35.0,5812.0,31.0
2018-05-09 11:29:00,11.0,59.4,36.0,5812.0,31.0
2018-05-09 11:30:00,11.0,59.4,36.0,5812.0,31.0
2018-05-09 11:31:00,11.0,59.4,35.0,5812.0,31.0
2018-05-09 11:32:00,11.0,59.72,35.0,5812.0,31.0
2018-05-09 11:33:00,11.0,59.72,34.0,5812.0,31.0
2018-05-09 11:34:00,11.0,60.36,35.0,5812.0,31.0
2018-05-09 11:35:00,11.0,60.68,35.0,5812.0,31.0
2018-05-09 11:36:00,11.0,60.52,35.0,5812.0,31.0
2018-05-09 11:37:00,11.0,60.52,35.0,5812.0,31.0
2018-05-09 11:38:00,11.0,60.52,36.0,5818.0,31.0
2018-05-09 11:39:00,11.0,60.52,36.0,5818.0,31.0
2018-05-09 11:40:00,11.0,60.36,39.0,5818.0,31.0
2018-05-09 11:41:00,11.0,60.52,42.0,5818.0,30.0
2018-05-09 11:42:00,11.0,60.68,43.0,5818.0,30.0
2018-05-09 11:43:00,11.0,60.84,43.0,5818.0,30.0
2018-05-09 11:44:00,11.0,60.84,44.0,5818.0,30.0
2018-05-09 11:45:00,11.0,60.84,45.0,5818.0,30.0
2018-05-09 11:46:00,11.0,61.0,45.0,5824.0,30.0
2018-05-09 11:47:00,11.0,61.16,45.0,5824.0,30.0
2018-05-09 11:48:00,11.0,61.16,45.0,5824.0,30.0
2018-05-09 11:49:00,11.0,61.33,46.0,5841.0,30.0
2018-05-09 11:50:00,11.0,61.33,46.0,5841.0,30.0
2018-05-09 11:51:00,11.0,61.33,46.0,5835.0,30.0
2018-05-09 11:52:00,11.0,61.49,46.0,5829.0,30.0
2018-05-09 11:53:00,11.0,61.33,45.0,5824.0,30.0
2018-05-09 11:54:00,11.0,61.49,45.0,5824.0,30.0
2018-05-09 11:55:00,11.0,61.49,46.0,5818.0,30.0
2018-05-09 11:56:00,11.0,61.49,46.0,5818.0,30.0
2018-05-09 11:57:00,11.0,61.97,46.0,5824.0,30.0
2018-05-09 11:58:00,11.0,61.97,46.0,5824.0,30.0
2018-05-09 11:59:00,11.0,61.97,46.0,5835.0,30.0
2018-05-09 12:00:00,12.0,62.13,46.0,5841.0,30.0
2018-05-09 12:01:00,12.0,62.29,46.0,5841.0,30.0
2018-05-09 12:02:00,12.0,62.45,45.0,5841.0,31.0
2018-05-09 12:03:00,12.0,62.61,45.0,5847.0,31.0
2018-05-09 12:04:00,12.0,62.61,45.0,5835.0,31.0
2018-05-09 12:05:00,12.0,62.61,45.0,5829.0,31.0
2018-05-09 12:06:00,12.0,62.61,45.0,5829.0,31.0
2018-05-09 12:07:00,12.0,62.77,45.0,5824.0,30.0
2018-05-09 12:08:00,12.0,62.77,45.0,5829.0,30.0
2018-05-09 12:09:00,12.0,62.93,46.0,5835.0,30.0
2018-05-09 12:10:00,12.0,62.93,46.0,5835.0,30.0
2018-05-09 12:11:00,12.0,63.25,46.0,5835.0,30.0
2018-05-09 12:12:00,12.0,63.09,46.0,5841.0,30.0
2018-05-09 12:13:00,12.0,63.41,46.0,5853.0,30.0
2018-05-09 12:14:00,12.0,63.41,45.0,5865.0,31.0
2018-05-09 12:15:00,12.0,63.41,45.0,5853.0,31.0
2018-05-09 12:16:00,12.0,63.41,45.0,5859.0,32.0
2018-05-09 12:17:00,12.0,63.57,45.0,5835.0,32.0
2018-05-09 12:18:00,12.0,63.73,45.0,5847.0,32.0
2018-05-09 12:19:00,12.0,63.89,44.0,5859.0,32.0
2018-05-09 12:20:00,12.0,63.89,44.0,5847.0,32.0
2018-05-09 12:21:00,12.0,64.05,44.0,5847.0,32.0
2018-05-09 12:22:00,12.0,64.21,44.0,5829.0,32.0
2018-05-09 12:23:00,12.0,64.05,44.0,5835.0,31.0
2018-05-09 12:24:00,12.0,64.21,44.0,5865.0,31.0
2018-05-09 12:25:00,12.0,64.37,44.0,5859.0,32.0
2018-05-09 12:26:00,12.0,64.54,44.0,5859.0,32.0
2018-05-09 12:27:00,12.0,64.7,44.0,5859.0,32.0
2018-05-09 12:28:00,12.0,64.7,44.0,5859.0,32.0
2018-05-09 12:29:00,12.0,64.7,44.0,5859.0,32.0
2018-05-09 12:30:00,12.0,65.02,44.0,5859.0,32.0
2018-05-09 12:31:00,12.0,64.86,44.0,5859.0,32.0
2018-05-09 12:32:00,12.0,64.86,44.0,5847.0,32.0
2018-05-09 12:33:00,12.0,64.86,43.0,5847.0,32.0
2018-05-09 12:34:00,12.0,64.86,43.0,5853.0,32.0
2018-05-09 12:35:00,12.0,65.02,43.0,5859.0,32.0
2018-05-09 12:36:00,12.0,65.02,43.0,5859.0,32.0
2018-05-09 12:37:00,12.0,65.18,43.0,5859.0,32.0
2018-05-09 12:38:00,12.0,65.18,43.0,5859.0,32.0
2018-05-09 12:39:00,12.0,65.34,43.0,5853.0,32.0
2018-05-09 12:40:00,12.0,65.5,43.0,5859.0,32.0
2018-05-09 12:41:00,12.0,65.34,43.0,5835.0,32.0
2018-05-09 12:42:00,12.0,65.5,43.0,5847.0,32.0
2018-05-09 12:43:00,12.0,65.66,43.0,5829.0,32.0
2018-05-09 12:44:00,12.0,65.98,43.0,5859.0,32.0
2018-05-09 12:45:00,12.0,65.82,43.0,5853.0,32.0
2018-05-09 12:46:00,12.0,66.14,43.0,5853.0,32.0
2018-05-09 12:47:00,12.0,66.14,43.0,5853.0,32.0
2018-05-09 12:48:00,12.0,66.62,43.0,5859.0,32.0
2018-05-09 12:49:00,12.0,66.14,43.0,5859.0,32.0
2018-05-09 12:50:00,12.0,66.14,43.0,5859.0,32.0
2018-05-09 12:51:00,12.0,66.3,42.0,5859.0,32.0
2018-05-09 12:52:00,12.0,66.78,42.0,5859.0,32.0
2018-05-09 12:53:00,12.0,66.62,43.0,5853.0,32.0
2018-05-09 12:54:00,12.0,66.78,43.0,5853.0,32.0
2018-05-09 12:55:00,12.0,66.78,42.0,5824.0,32.0
2018-05-09 12:56:00,12.0,66.78,42.0,5847.0,32.0
2018-05-09 12:57:00,12.0,66.94,42.0,5859.0,32.0
2018-05-09 12:58:00,12.0,67.1,42.0,5859.0,32.0
2018-05-09 12:59:00,12.0,67.1,43.0,5859.0,32.0
2018-05-09 13:00:00,13.0,67.26,42.0,5812.0,32.0
2018-05-09 13:01:00,13.0,67.42,42.0,5824.0,32.0
2018-05-09 13:02:00,13.0,67.42,42.0,5824.0,32.0
2018-05-09 13:03:00,13.0,67.42,42.0,5818.0,32.0
2018-05-09 13:04:00,13.0,67.75,42.0,5806.0,31.0
2018-05-09 13:05:00,13.0,67.75,42.0,5806.0,31.0
2018-05-09 13:06:00,13.0,67.75,42.0,5806.0,31.0
2018-05-09 13:07:00,13.0,67.91,42.0,5824.0,31.0
2018-05-09 13:08:00,13.0,68.07,42.0,5835.0,31.0
2018-05-09 13:09:00,13.0,68.23,43.0,5859.0,31.0
2018-05-09 13:10:00,13.0,68.23,43.0,5859.0,32.0
2018-05-09 13:11:00,13.0,68.39,42.0,5824.0,32.0
2018-05-09 13:12:00,13.0,68.23,42.0,5835.0,32.0
2018-05-09 13:13:00,13.0,68.39,42.0,5806.0,32.0
2018-05-09 13:14:00,13.0,68.55,42.0,5800.0,32.0
2018-05-09 13:15:00,13.0,68.55,42.0,5800.0,31.0
2018-05-09 13:16:00,13.0,68.71,42.0,5806.0,31.0
2018-05-09 13:17:00,13.0,68.87,42.0,5800.0,31.0
2018-05-09 13:18:00,13.0,68.87,42.0,5800.0,31.0
2018-05-09 13:19:00,13.0,68.87,43.0,5800.0,30.0
2018-05-09 13:20:00,13.0,69.03,43.0,5812.0,30.0
2018-05-09 13:21:00,13.0,69.03,44.0,5835.0,30.0
2018-05-09 13:22:00,13.0,69.03,43.0,5847.0,31.0
2018-05-09 13:23:00,13.0,69.03,43.0,5829.0,31.0
2018-05-09 13:24:00,13.0,69.03,43.0,5829.0,31.0
2018-05-09 13:25:00,13.0,69.03,43.0,5835.0,31.0
2018-05-09 13:26:00,13.0,69.03,43.0,5812.0,32.0
2018-05-09 13:27:00,13.0,69.19,43.0,5806.0,32.0
2018-05-09 13:28:00,13.0,69.35,42.0,5800.0,31.0
2018-05-09 13:29:00,13.0,69.35,42.0,5794.0,31.0
2018-05-09 13:30:00,13.0,69.35,43.0,5794.0,31.0
2018-05-09 13:31:00,13.0,69.35,44.0,5794.0,30.0
2018-05-09 13:32:00,13.0,69.35,44.0,5794.0,30.0
2018-05-09 13:33:00,13.0,69.35,44.0,5794.0,30.0
2018-05-09 13:34:00,13.0,69.19,44.0,5794.0,30.0
2018-05-09 13:35:00,13.0,68.71,44.0,5788.0,30.0
2018-05-09 13:36:00,13.0,68.55,44.0,5788.0,30.0
2018-05-09 13:37:00,13.0,68.55,44.0,5788.0,30.0
2018-05-09 13:38:00,13.0,68.55,44.0,5788.0,30.0
2018-05-09 13:39:00,13.0,68.39,44.0,5788.0,30.0
2018-05-09 13:40:00,13.0,68.39,44.0,5788.0,30.0
2018-05-09 13:41:00,13.0,68.39,44.0,5788.0,30.0
2018-05-09 13:42:00,13.0,68.23,44.0,5788.0,30.0
2018-05-09 13:43:00,13.0,68.23,44.0,5788.0,30.0
2018-05-09 13:44:00,13.0,68.07,44.0,5788.0,30.0
2018-05-09 13:45:00,13.0,68.07,44.0,5788.0,30.0
2018-05-09 13:46:00,13.0,68.07,44.0,5788.0,30.0
2018-05-09 13:47:00,13.0,68.07,44.0,5788.0,30.0
2018-05-09 13:48:00,13.0,67.91,45.0,5782.0,30.0
2018-05-09 13:49:00,13.0,67.91,45.0,5782.0,30.0
2018-05-09 13:50:00,13.0,67.91,45.0,5782.0,30.0
2018-05-09 13:51:00,13.0,67.91,44.0,5782.0,30.0
2018-05-09 13:52:00,13.0,67.75,45.0,5777.0,30.0
2018-05-09 13:53:00,13.0,67.75,45.0,5777.0,30.0
2018-05-09 13:54:00,13.0,67.75,45.0,5782.0,30.0
2018-05-09 13:55:00,13.0,67.75,45.0,5782.0,30.0
2018-05-09 13:56:00,13.0,67.91,45.0,5782.0,29.0
2018-05-09 13:57:00,13.0,67.58,45.0,5782.0,29.0
2018-05-09 13:58:00,13.0,67.58,45.0,5782.0,29.0
2018-05-09 13:59:00,13.0,67.75,45.0,5777.0,29.0
2018-05-09 14:00:00,14.0,67.75,45.0,5777.0,29.0
2018-05-09 14:01:00,14.0,67.91,45.0,5777.0,29.0
2018-05-09 14:02:00,14.0,67.91,45.0,5777.0,29.0
2018-05-09 14:03:00,14.0,67.75,45.0,5777.0,29.0
2018-05-09 14:04:00,14.0,67.75,45.0,5771.0,29.0
2018-05-09 14:05:00,14.0,67.91,45.0,5771.0,29.0
2018-05-09 14:06:00,14.0,67.91,45.0,5765.0,29.0
2018-05-09 14:07:00,14.0,67.75,45.0,5765.0,29.0
2018-05-09 14:08:00,14.0,67.91,45.0,5765.0,29.0
2018-05-09 14:09:00,14.0,67.91,45.0,5765.0,29.0
2018-05-09 14:10:00,14.0,67.75,45.0,5765.0,29.0
2018-05-09 14:11:00,14.0,67.75,45.0,5771.0,29.0
2018-05-09 14:12:00,14.0,67.75,45.0,5771.0,29.0
2018-05-09 14:13:00,14.0,67.75,45.0,5771.0,29.0
2018-05-09 14:14:00,14.0,67.58,45.0,5777.0,29.0
2018-05-09 14:15:00,14.0,67.58,45.0,5771.0,29.0
2018-05-09 14:16:00,14.0,67.42,45.0,5771.0,29.0
2018-05-09 14:17:00,14.0,67.58,45.0,5765.0,29.0
2018-05-09 14:18:00,14.0,67.58,46.0,5765.0,29.0
2018-05-09 14:19:00,14.0,67.75,46.0,5765.0,29.0
2018-05-09 14:20:00,14.0,67.42,46.0,5759.0,29.0
2018-05-09 14:21:00,14.0,67.58,46.0,5765.0,29.0
2018-05-09 14:22:00,14.0,67.42,46.0,5765.0,29.0
2018-05-09 14:23:00,14.0,67.75,47.0,5765.0,29.0
2018-05-09 14:24:00,14.0,67.58,47.0,5765.0,29.0
2018-05-09 14:25:00,14.0,67.58,48.0,5765.0,29.0
2018-05-09 14:26:00,14.0,67.58,48.0,5765.0,29.0
2018-05-09 14:27:00,14.0,67.42,47.0,5759.0,28.0
2018-05-09 14:28:00,14.0,67.58,48.0,5759.0,28.0
2018-05-09 14:29:00,14.0,67.42,48.0,5759.0,28.0
2018-05-09 14:30:00,14.0,67.26,48.0,5759.0,28.0
2018-05-09 14:31:00,14.0,67.42,48.0,5765.0,28.0
2018-05-09 14:32:00,14.0,67.26,49.0,5765.0,28.0
2018-05-09 14:33:00,14.0,67.1,49.0,5765.0,28.0
2018-05-09 14:34:00,14.0,67.26,50.0,5759.0,28.0
2018-05-09 14:35:00,14.0,67.1,52.0,5759.0,28.0
2018-05-09 14:36:00,14.0,66.94,52.0,5753.0,28.0
2018-05-09 14:37:00,14.0,66.94,52.0,5753.0,28.0
2018-05-09 14:38:00,14.0,66.94,53.0,5753.0,28.0
2018-05-09 14:39:00,14.0,66.78,53.0,5753.0,28.0
2018-05-09 14:40:00,14.0,66.78,53.0,5753.0,28.0
2018-05-09 14:41:00,14.0,66.62,54.0,5753.0,28.0
2018-05-09 14:42:00,14.0,66.62,54.0,5753.0,28.0
2018-05-09 14:43:00,14.0,66.62,54.0,5753.0,28.0
2018-05-09 14:44:00,14.0,66.62,56.0,5759.0,28.0
2018-05-09 14:45:00,14.0,66.62,56.0,5765.0,28.0
2018-05-09 14:46:00,14.0,66.62,57.0,5765.0,28.0
2018-05-09 14:47:00,14.0,66.62,58.0,5765.0,28.0
2018-05-09 14:48:00,14.0,66.62,58.0,5765.0,28.0
2018-05-09 14:49:00,14.0,66.62,60.0,5771.0,28.0
2018-05-09 14:50:00,14.0,66.94,61.0,5771.0,28.0
2018-05-09 14:51:00,14.0,67.91,62.0,5777.0,28.0
2018-05-09 14:52:00,14.0,72.72,63.0,5777.0,27.0
2018-05-09 14:53:00,14.0,75.29,64.0,5782.0,27.0
2018-05-09 14:54:00,14.0,78.98,65.0,5782.0,27.0
2018-05-09 14:55:00,14.0,79.94,67.0,5788.0,27.0
2018-05-09 14:56:00,14.0,82.51,68.0,5788.0,27.0
2018-05-09 14:57:00,14.0,86.36,69.0,5788.0,27.0
2018-05-09 14:58:00,14.0,87.01,70.0,5788.0,27.0
2018-05-09 14:59:00,14.0,87.01,70.0,5788.0,27.0
2018-05-09 15:00:00,15.0,86.84,70.0,5794.0,27.0
2018-05-09 15:01:00,15.0,86.52,71.0,5788.0,27.0
2018-05-09 15:02:00,15.0,86.36,71.0,5794.0,27.0
2018-05-09 15:03:00,15.0,86.04,71.0,5794.0,27.0
2018-05-09 15:04:00,15.0,86.04,71.0,5794.0,27.0
2018-05-09 15:05:00,15.0,86.04,71.0,5794.0,27.0
2018-05-09 15:06:00,15.0,85.72,72.0,5800.0,27.0
2018-05-09 15:07:00,15.0,85.72,72.0,5800.0,27.0
2018-05-09 15:08:00,15.0,85.56,73.0,5800.0,27.0
2018-05-09 15:09:00,15.0,85.4,73.0,5800.0,27.0
2018-05-09 15:10:00,15.0,85.24,74.0,5800.0,27.0
2018-05-09 15:11:00,15.0,85.4,75.0,5800.0,27.0
2018-05-09 15:12:00,15.0,85.4,75.0,5800.0,27.0
2018-05-09 15:13:00,15.0,85.24,75.0,5806.0,27.0
2018-05-09 15:14:00,15.0,85.24,75.0,5806.0,27.0
2018-05-09 15:15:00,15.0,85.4,76.0,5806.0,27.0
2018-05-09 15:16:00,15.0,85.4,76.0,5806.0,27.0
2018-05-09 15:17:00,15.0,85.24,76.0,5806.0,27.0
2018-05-09 15:18:00,15.0,85.24,76.0,5806.0,27.0
2018-05-09 15:19:00,15.0,85.08,76.0,5806.0,27.0
2018-05-09 15:20:00,15.0,85.24,77.0,5806.0,27.0
2018-05-09 15:21:00,15.0,85.08,77.0,5812.0,27.0
2018-05-09 15:22:00,15.0,85.08,77.0,5812.0,27.0
2018-05-09 15:23:00,15.0,84.92,77.0,5806.0,27.0
2018-05-09 15:24:00,15.0,84.92,76.0,5806.0,27.0
2018-05-09 15:25:00,15.0,84.92,76.0,5812.0,27.0
2018-05-09 15:26:00,15.0,84.92,76.0,5818.0,27.0
2018-05-09 15:27:00,15.0,84.76,76.0,5829.0,27.0
2018-05-09 15:28:00,15.0,84.76,78.0,5818.0,27.0
2018-05-09 15:29:00,15.0,84.76,78.0,5818.0,27.0
2018-05-09 15:30:00,15.0,84.6,78.0,5824.0,27.0
2018-05-09 15:31:00,15.0,84.76,78.0,5829.0,27.0
2018-05-09 15:32:00,15.0,84.76,78.0,5829.0,27.0
2018-05-09 15:33:00,15.0,84.76,78.0,5824.0,27.0
2018-05-09 15:34:00,15.0,84.76,77.0,5824.0,27.0
2018-05-09 15:35:00,15.0,84.6,76.0,5824.0,27.0
2018-05-09 15:36:00,15.0,84.6,76.0,5812.0,27.0
2018-05-09 15:37:00,15.0,84.6,76.0,5806.0,27.0
2018-05-09 15:38:00,15.0,84.6,76.0,5800.0,27.0
2018-05-09 15:39:00,15.0,84.6,76.0,5800.0,27.0
2018-05-09 15:40:00,15.0,84.44,76.0,5800.0,27.0
2018-05-09 15:41:00,15.0,84.44,76.0,5794.0,27.0
2018-05-09 15:42:00,15.0,84.44,76.0,5794.0,27.0
2018-05-09 15:43:00,15.0,84.44,76.0,5788.0,27.0
2018-05-09 15:44:00,15.0,84.6,77.0,5788.0,27.0
2018-05-09 15:45:00,15.0,84.44,78.0,5788.0,27.0
2018-05-09 15:46:00,15.0,84.44,78.0,5788.0,27.0
2018-05-09 15:47:00,15.0,84.44,78.0,5782.0,27.0
2018-05-09 15:48:00,15.0,84.44,78.0,5782.0,27.0
2018-05-09 15:49:00,15.0,84.44,77.0,5777.0,27.0
